province,city,tel,name,district,origin_address,qq,shop_url,img_tel,source,address,source_url
黑龙江省,哈尔滨市,15045620714,花新意私人订制花艺馆,道里区,群力新区,125484170,http://www.huawa.com/shop/288424,http://www.huawa.com/phone/sl6qWjl.rGczsjYdYNWtlmVilrazsvYejRl,huawa.com,群力新区,http://www.huawa.com/store-0-0-0-0-0-0-0-0-91.html
江苏省,常州市,15852920613,馨星花緣,天宁区,红梅街道北环南村薛家塘79号,1254528598,http://www.huawa.com/shop/420704,http://www.huawa.com/phone/0kvR7O5vGO0b3c6gmgB1vHO3_SM0b_c6bqv,huawa.com,红梅街道北环南村薛家塘79号,http://www.huawa.com/store-0-0-0-0-0-0-0-0-91.html
山东省,济宁市,13563776058,济宁木香花艺,任城区,山东省济宁市任城区建设北路109号,784238108,http://www.huawa.com/shop/305860,http://www.huawa.com/phone/pzkmantwgpaxkvEyGcUpTwbrQtdyEfI0Rgj,huawa.com,建设北路109号,http://www.huawa.com/store-0-0-0-0-0-0-0-0-90.html
上海市,市辖区,13917930705,亮亮花店专业花篮寻找合作,普陀区,子洲路356号,289680591,http://www.huawa.com/shop/422074,http://www.huawa.com/phone/rAtB2jWfj0QqT0DsGaCtWzSeDAPqTACtheR,huawa.com,子洲路356号,http://www.huawa.com/store-0-0-0-0-0-0-0-0-88.html
湖南省,衡阳市,7773414443,##卡斯曼鲜花##,石鼓区,石鼓区蒸湘区雁峰区珠晖区蒸阳路,726584324,http://www.huawa.com/shop/287952,http://www.huawa.com/phone/MSM3tJLYKe3vLxI2psNyUvHHrQb4vL0Ixt7,huawa.com,蒸湘区雁峰区珠晖区蒸阳路,http://www.huawa.com/store-0-0-0-0-0-0-0-0-91.html
四川省,巴中市,15052733522,蝶恋花鲜花,巴州区,巴中市巴州区江北大道中段117号,553495645,http://www.huawa.com/shop/419309,http://www.huawa.com/phone/rEHnRuu_1k_j9k9lgnbsEzUsP5j_TBl9Lrq,huawa.com,江北大道中段117号,http://www.huawa.com/store-0-0-0-0-0-0-0-0-90.html
浙江省,宁波市,"13325744995,18058230312",开一朵摘一朵,鄞州区,金光中心,767982029,http://www.huawa.com/shop/418324,"http://www.huawa.com/phone/bWX25mpdiFPUhJQEB2b2PH2lphFQU1RRfFF,http://www.huawa.com/phone/GA80wH7YrKuJeG1mvIwTo.wHrIqKuFeGgq-",huawa.com,金光中心,http://www.huawa.com/store-0-0-0-0-0-0-0-0-88.html
浙江省,杭州市,17767156521,杭州123,江干区,凤起东路,2170835275,http://www.huawa.com/shop/332618,http://www.huawa.com/phone/MsOBTiMUIv8wPds9H4fNubjL00w9QTt8S8u,huawa.com,凤起东路,http://www.huawa.com/store-0-0-0-0-0-0-0-0-1.html
天津市,市辖区,13521922560,爱花居天津市雅安道川府新村店,南开区,南开区雅安道川府新村园川里5号楼3门104,2047845248,http://www.huawa.com/shop/416282,http://www.huawa.com/phone/wo46Xz4AHtjrxExWPSwIEUx4MKFtD1JxhTh,huawa.com,雅安道川府新村园川里5号楼3门104,http://www.huawa.com/store-0-0-0-0-0-0-0-0-91.html
广东省,东莞市,"13113116265,18672560535",加分花艺店,,万达广场,717854106,http://www.huawa.com/shop/310430,"http://www.huawa.com/phone/hpoZaw07d1XjZuHiJDhJYWuUnaP23bevimS,http://www.huawa.com/phone/AG55ZB8MuDr2Y1ozanC29b_MwUwDr6a2D32",huawa.com,万达广场,http://www.huawa.com/store-0-0-0-0-0-0-0-0-90.html
江西省,南昌市,"13970808253,75770475720",青青花艺工作室,西湖区,苏圃路209号,107346510,http://www.huawa.com/shop/261646,"http://www.huawa.com/phone/4wuJc6vwP2gg7N41nK4Q-e4f8L4gzU3grZO,http://www.huawa.com/phone/6APdy7MlX1JsMcID7u7A_058P4LsYdGH-_9",huawa.com,苏圃路209号,http://www.huawa.com/store-0-0-0-0-0-0-0-0-89.html
广西壮族自治区,南宁市,18875723161,南宁美奇花店,西乡塘区,友爱北路大树脚,507641821,http://www.huawa.com/shop/419760,http://www.huawa.com/phone/NPBoE0NjFb480BfLItjP_Q2N1f28k1kKTxy,huawa.com,友爱北路大树脚,http://www.huawa.com/store-0-0-0-0-0-0-0-0-84.html
浙江省,嘉兴市,13556355133,满天星花艺,海宁市,海宁市硖石街道长埭路177-5-6,2137014503,http://www.huawa.com/shop/310938,http://www.huawa.com/phone/KVUH4bUtfCaCSEhZ7BK1U7akhDbSGGgE_3Q,huawa.com,硖石街道长埭路177-5-6,http://www.huawa.com/store-0-0-0-0-0-0-0-0-83.html
江苏省,南京市,1395012330,南京未闻花名花店,浦口区,浦东路21号锦汇苑21栋103室,574420414,http://www.huawa.com/shop/422663,http://www.huawa.com/phone/KQOd1GE_Qw27IvG_0eKwe1E_4t2bExmF64t,huawa.com,浦东路21号锦汇苑21栋103室,http://www.huawa.com/store-0-0-0-0-0-0-0-0-85.html
浙江省,台州市,13777651501,初见花坊,椒江区,椒江区洪家后新街72号,1034303331,http://www.huawa.com/shop/333680,http://www.huawa.com/phone/8CBIlAt3hv31CQ9kCbQ8iJn_N3l3FGP8vff,huawa.com,洪家后新街72号,http://www.huawa.com/store-0-0-0-0-0-0-0-0-87.html
江西省,赣州市,13763809587,花点时间LOVE花艺,章贡区,绵江路中央城三栋十号,1014278742,http://www.huawa.com/shop/332462,http://www.huawa.com/phone/5s-sd3C0hpv89L6SsL5MGe1iAdr_NPS7Nwa,huawa.com,绵江路中央城三栋十号,http://www.huawa.com/store-0-0-0-0-0-0-0-0-88.html
北京市,市辖区,"13621177511,13691957748",北京火红新奥鲜花店,海淀区,海淀区学院路学知轩大厦1层,732803558,http://www.huawa.com/shop/270507,"http://www.huawa.com/phone/aUhJIeQX0aePMwcRPta0lFcQD3b_Qwbc0T8,http://www.huawa.com/phone/UIZhuYNed8D5F3R8FqUoRyWepAEpR6S3J5m",huawa.com,学院路学知轩大厦1层,http://www.huawa.com/store-0-0-0-0-0-0-0-0-1.html
湖北省,武汉市,"17786045894,18086525455",花之恋花艺馆,江汉区,武汉市江汉区江汉二路148号,2426315877,http://www.huawa.com/shop/422176,"http://www.huawa.com/phone/rwGcf6uDl7tsOohYesQOi5-rlF898YWpsct,http://www.huawa.com/phone/q5l8Uzx7VcXiAwcfYspRXyB3Td46niEx3jn",huawa.com,江汉二路148号,http://www.huawa.com/store-0-0-0-0-0-0-0-0-91.html
广东省,深圳市,"15362642350,15362642350",布吉小胖花坊,龙岗区,布吉镇下水径坑尾西二巷5号,654921961,http://www.huawa.com/shop/416166,"http://www.huawa.com/phone/146MOiquIjunUeggkG3oyPg6uIjOjbgrJoV,http://www.huawa.com/phone/cTj54bVtdBPRgGeD_EeDb5ZlHtBPxcNeODT",huawa.com,布吉镇下水径坑尾西二巷5号,http://www.huawa.com/store-0-0-0-0-0-0-0-0-90.html
辽宁省,辽阳市,13514196453,辽阳心语鲜花蛋糕店,文圣区,辽阳市第二人民医院对面,523635747,http://www.huawa.com/shop/228941,http://www.huawa.com/phone/FBKiLsDtbc6X5JqHR2mBqLoCLI_YZJxG861,huawa.com,第二人民医院对面,http://www.huawa.com/store-0-0-0-0-0-0-0-0-89.html
河北省,保定市,15076380056,阳光花路鲜花店瞿,,红旗大街魅力东方对面阳光花路鲜花店,910666387,http://www.huawa.com/shop/380706,http://www.huawa.com/phone/Widt-UhQuaNJ88Z926XiJATxEzaN5tDZY6J,huawa.com,红旗大街魅力东方对面阳光花路鲜花店,http://www.huawa.com/store-0-0-0-0-0-0-0-0-84.html
江苏省,苏州市,15862400257,康乃馨鲜花店,吴中区,木渎镇香港街12-1,971305392,http://www.huawa.com/shop/305504,http://www.huawa.com/phone/gr_CtNVwe-geZ3hNW3hr5OTAW6geR7h4jaG,huawa.com,木渎镇香港街12-1,http://www.huawa.com/store-0-0-0-0-0-0-0-0-83.html
湖北省,宜昌市,15572535871,爱花居宜昌市西陵一路店,西陵区,西陵一路32号,125134330,http://www.huawa.com/shop/233463,http://www.huawa.com/phone/vDFJX_AGVB.l9g-0djwDRZ9QCUC1Nm9_h0y,huawa.com,西陵一路32号,http://www.huawa.com/store-0-0-0-0-0-0-0-0-85.html
安徽省,安庆市,"13966904805,13966904805",香品屋鲜花店,宿松县,宿松县人民路199号,94005110,http://www.huawa.com/shop/302321,"http://www.huawa.com/phone/Ff2i3a4Ko6bvqiT3YmSfWHb34GXwqyS3jqh,http://www.huawa.com/phone/7XS60BEY5LCRoxOK6j73i1AUks1MChwOV-y",huawa.com,人民路199号,http://www.huawa.com/store-0-0-0-0-0-0-0-0-87.html
河北省,唐山市,13532502077,唐山市丰润区雪儿婚庆鲜花坊,丰润区,南关红绿灯南行50米路西,510681615,http://www.huawa.com/shop/422774,http://www.huawa.com/phone/9ZJN3RXb8OFFmAwYyT095V1PnX4Ol1sAj2D,huawa.com,南关红绿灯南行50米路西,http://www.huawa.com/store-0-0-0-0-0-0-0-0-86.html
广东省,深圳市,"18033074019,18033074019",布吉花满天鲜花店,龙岗区,布吉镇长龙新村一区五巷,1004435548,http://www.huawa.com/shop/418764,"http://www.huawa.com/phone/018.BN7-vimq6JzBYb2stL5eXlnqqJ0Bscq,http://www.huawa.com/phone/lpsfb4putZks9ZzOjHnZYZ2JWclstZ05onW",huawa.com,布吉镇长龙新村一区五巷,http://www.huawa.com/store-0-0-0-0-0-0-0-0-82.html
湖北省,黄石市,777105539,黄石天天鲜花,黄石港区,武汉路193号黄石摩尔城,3297150874,http://www.huawa.com/shop/310747,http://www.huawa.com/phone/clkoXh2f3ZaWvOyzPBdFsZf2fabmrOzeTmQ,huawa.com,武汉路193号黄石摩尔城,http://www.huawa.com/store-0-0-0-0-0-0-0-0-92.html
江苏省,苏州市,13913779570,花与时鲜花店,太仓市,洛阳路,273570037,http://www.huawa.com/shop/417245,http://www.huawa.com/phone/zL7QXH4RW-9Ji_ajXezrLTFYVZANZo_lTnm,huawa.com,洛阳路,http://www.huawa.com/store-0-0-0-0-0-0-0-0-88.html
北京市,市辖区,"550042573,550042573",Lover鲜花店,朝阳区,双桥国泰百货一层底商,286658276,http://www.huawa.com/shop/332739,"http://www.huawa.com/phone/GG66vHhL6qD5FXz3joHG6rF7imqDZJdyin3,http://www.huawa.com/phone/0-Bye38wP2wpYX6sptN1-Ba1sYP2Qte5Xtc",huawa.com,双桥国泰百货一层底商,http://www.huawa.com/store-0-0-0-0-0-0-0-0-1.html
河南省,信阳市,"18567653323,13703762110",爱花居信阳市新十六大街康诗丹郡店,平桥区,新十六大街康诗丹郡C区36号楼105,16298193,http://www.huawa.com/shop/309556,"http://www.huawa.com/phone/hmkpHTWsRKgUoGh6RIjmWkFS2sLgEkHh1VX,http://www.huawa.com/phone/eUUyEcSsBiCP0L0QGZe0c_aywDiSiD0L_UV",huawa.com,新十六大街康诗丹郡C区36号楼105,http://www.huawa.com/store-0-0-0-0-0-0-0-0-91.html
浙江省,杭州市,"137080510721,137080510721",米兰婚庆,萧山区,浙江省杭州市萧山区通惠南路256号,1210109037,http://www.huawa.com/shop/306875,"http://www.huawa.com/phone/DM3rtHHNn_9rHo_vgoDs_rH31s_rTpa_Kk3,http://www.huawa.com/phone/E3JaoJ78bC_0swdjkEXRm0JrkgC1_Atw4nz",huawa.com,通惠南路256号,http://www.huawa.com/store-0-0-0-0-0-0-0-0-90.html
