province,city,tel,name,district,origin_address,qq,shop_url,img_tel,source,address,source_url
上海,上海,18221496557,上海258鲜花,普陀区,嘉定区江桥镇曹安公路1777号美城广场B区一楼1038--1039--1040房间,1275888453,http://www.zhuandan.com/Stores/14930,,zhuandan.com,嘉定区江桥镇曹安公路1777号美城广场B区一楼1038--1039--1040房间,http://www.zhuandan.com/Stores/flowers?&p=1
广东,广州市,15018455963,广州越秀区二八花艺,越秀区,广州市越秀区水荫路12号,"546859605,297352000",http://www.zhuandan.com/Stores/12783,,zhuandan.com,水荫路12号,http://www.zhuandan.com/Stores/flowers?&p=1
上海,上海,18521535158,上海市长宁区馨艺鲜花,长宁区,上海市长宁区新泾镇淞虹路685弄绿园一村34号103,1102560144,http://www.zhuandan.com/Stores/13865,,zhuandan.com,新泾镇淞虹路685弄绿园一村34号103,http://www.zhuandan.com/Stores/flowers?&p=1
湖南,邵阳市,15807393366,邵阳双清区大圣花艺,双清区,"邵水东路48,49号产权处公交站牌旁大圣花艺",316282397,http://www.zhuandan.com/Stores/77812,,zhuandan.com,"邵水东路48,49号产权处公交站牌旁大圣花艺",http://www.zhuandan.com/Stores/flowers?&p=73
北京,北京,15136929949,北京朝阳区浪漫情缘鲜花店,朝阳区,北京市朝阳区酒仙桥,2020597878,http://www.zhuandan.com/Stores/14954,,zhuandan.com,酒仙桥,http://www.zhuandan.com/Stores/flowers?&p=1
广东,东莞市,19876964001,东莞莞城街道花阁鲜花店,莞城街道,中国银行花园支行旁,773493676,http://www.zhuandan.com/Stores/73718,,zhuandan.com,中国银行花园支行旁,http://www.zhuandan.com/Stores/flowers?&p=73
北京,北京,18710119960,北京朝阳区欧艺鲜花坊,朝阳区,北京市朝阳区惠新西街南口，天利宏市场,1711461047,http://www.zhuandan.com/Stores/11265,,zhuandan.com,惠新西街南口，天利宏市场,http://www.zhuandan.com/Stores/flowers?&p=1
内蒙古,包头市,15848255304,包头市东河区都市花乡鲜花,东河区,内蒙古包头市东河区东站街道,1552370971,http://www.zhuandan.com/Stores/49795,,zhuandan.com,东站街道,http://www.zhuandan.com/Stores/flowers?&p=69
青海,海西,13897091849,格尔木市春丽礼品店,格尔木市,昆仑路街道八一中路9-1号,,http://www.zhuandan.com/Stores/24584,,zhuandan.com,昆仑路街道八一中路9-1号,http://www.zhuandan.com/Stores/flowers?&p=73
广东,深圳市,15220222775,深圳福田区桐馨花店,福田区,南园街道滨河新村25栋,597161902,http://www.zhuandan.com/Stores/44150,,zhuandan.com,南园街道滨河新村25栋,http://www.zhuandan.com/Stores/flowers?&p=1
